para1,para2,para4,price,loc1_0,loc1_1,loc1_2,loc1_3,loc1_4,loc1_5,loc1_6,loc1_7,loc1_8,loc1_9,dow_Mon,dow_Thu,dow_Tue,dow_Wed
4,1305,13.6,3590.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,630,13.6,930.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,650,13.6,445.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,508,4.0,240.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,290,13.6,400.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,699,5.7,400.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,391,1.0,430.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,337,13.6,680.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,549,9.0,500.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,614,1.6,187.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,483,2.5,350.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,305,3.2,150.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,506,13.6,600.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,196,6.5,278.19,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,433,13.6,540.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,16,10.2,249.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,727,13.6,700.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,480,13.2,580.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,555,7.2,350.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,228,1.2,225.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,527,13.6,600.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,578,11.2,166.67,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,372,13.6,500.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,722,3.2,281.52,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,16,1.6,180.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,584,3.2,300.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,405,13.6,500.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,890,13.6,1000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,351,3.6,216.67,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4,1224,3.8,530.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,289,4.0,250.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3,363,13.6,500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,597,17.2,243.33,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,695,2.4,400.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
13,292,6.8,350.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,701,13.5,680.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,155,13.6,250.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,138,3.9,280.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,469,13.6,550.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,701,13.6,820.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,16,2.0,150.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,448,13.6,900.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,445,13.6,490.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,497,13.6,750.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,549,6.8,375.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,127,2.8,210.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,16,1.6,150.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3,265,7.0,250.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,836,6.8,500.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,524,13.6,560.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,471,13.6,500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,299,13.6,350.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,313,4.4,230.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,384,4.8,350.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,632,5.6,340.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,361,13.6,450.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,462,11.2,325.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,280,13.6,340.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,198,1.8,165.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,546,13.6,735.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,566,9.6,500.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,323,13.6,535.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,281,4.0,221.24,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,346,13.6,460.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,906,6.4,1120.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,265,6.0,122.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,1059,3.6,900.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,291,8.0,133.33,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,441,4.0,345.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,768,2.0,236.32,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,560,3.0,300.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,195,4.0,153.33,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,591,6.4,616.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,283,13.6,420.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,321,11.0,235.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,666,13.2,390.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,513,6.8,310.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,506,9.6,730.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,52,1.0,90.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4,1342,13.6,1000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,1319,13.4,1110.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,329,18.0,394.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,519,3.6,240.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4,872,13.6,1550.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,155,4.0,200.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,352,6.0,390.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,211,13.6,250.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,323,4.8,240.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,753,11.0,850.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,293,12.8,400.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,1654,13.6,1700.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,623,4.4,638.61,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,615,12.0,365.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3,859,13.6,1000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,420,9.0,420.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,378,7.2,400.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,520,13.6,580.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,482,5.6,211.13,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,442,13.6,580.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,611,13.6,700.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,57,13.6,170.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,451,6.8,325.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,713,13.6,380.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,276,4.0,265.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,64,3.0,300.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,545,6.8,300.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,617,3.5,217.12,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,270,5.5,166.67,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,240,6.8,325.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,491,2.8,318.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,573,13.6,700.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,151,8.5,280.91,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,221,2.4,175.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,789,7.2,400.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,215,2.0,96.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,630,13.6,720.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,235,13.6,350.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,522,6.6,300.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,407,13.6,520.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3,779,13.6,890.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,265,3.5,310.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,450,13.6,560.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,833,8.8,373.33,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,402,5.6,300.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,44,13.0,200.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,791,2.0,161.16,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,716,11.0,670.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3,581,6.4,280.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,356,13.6,500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,62,13.6,191.22,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,375,13.6,500.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
